,index,school_name,enrollment
833,833,Palo Alto College,6813
834,834,Eastern Washington University,10761
835,835,Central Washington University,10101
836,836,Green River College,5484
837,837,University of Wisconsin-Madison,29579
838,838,University of Wisconsin-Whitewater,10614
839,839,University of Wisconsin-Stout,8220
840,840,Universidad del Este,11825
841,841,University of Puerto Rico-Rio Piedras,12653
842,842,Stanford University,6994
843,843,Gateway Technical College,6291
844,844,Universidad Metropolitana,11589
845,845,Paradise Valley Community College,6418
846,846,St Charles Community College,6301
847,847,NorthWest Arkansas Community College,6057
848,848,Pennsylvania College of Technology,5416
849,849,Christopher Newport University,5040
850,850,Virginia Polytechnic Institute and State University,25327
851,851,Weatherford College,5370
852,852,College of William and Mary,6260
853,853,Northern Virginia Community College,43323
854,854,Washington State University,24100
855,855,University of Utah,22761
856,856,Blinn College,18025
857,857,The University of Texas at Arlington,30358
858,858,The University of Texas at El Paso,20004
859,859,Texas State University,33480
860,860,Dixie State University,7207
861,861,ECPI University,10979
862,862,Estrella Mountain Community College,7803
863,863,South Texas College,19067
