,index,school_name,enrollment
194,194,Hudson Valley Community College,8243
195,195,Columbia University in the City of New York,8102
196,196,The College of New Jersey,6590
197,197,Essex County College,9828
198,198,Nassau Community College,19444
199,199,New York University,25314
200,200,Oakton Community College,9269
201,201,Delgado Community College,15534
202,202,Nicholls State University,5254
203,203,Oklahoma State University-Oklahoma City,5537
204,204,Linn-Benton Community College,5635
205,205,Clackamas Community College,5902
206,206,Oklahoma City Community College,12171
207,207,Bloomsburg University of Pennsylvania,8892
208,208,Lane Community College,7774
209,209,Bucks County Community College,8076
210,210,Oregon State University,23656
211,211,Millersville University of Pennsylvania,6952
212,212,University of Pittsburgh-Pittsburgh Campus,18655
213,213,Asheville-Buncombe Technical Community College,5113
214,214,Forsyth Technical Community College,7677
215,215,Elon University,5903
216,216,Bowling Green State University-Main Campus,13900
217,217,Tri-County Technical College,5322
218,218,Nashville State Community College,8381
219,219,Southwest Tennessee Community College,8402
220,220,West Chester University of Pennsylvania,13966
221,221,Slippery Rock University of Pennsylvania,7461
222,222,Shippensburg University of Pennsylvania,5953
223,223,Brown University,6320
224,224,Texas Tech University,28868
225,225,Tarrant County College District,41871
226,226,The University of Texas at Austin,39057
227,227,Lone Star College System,59193
228,228,Sam Houston State University,17401
229,229,Texas A & M University-Kingsville,5630
230,230,Prairie View A & M University,6925
231,231,Texas Woman's University,9395
232,232,The University of Texas at San Antonio,23921
233,233,University of Houston,33300
234,234,Utah State University,22265
235,235,Weber State University,16846
236,236,Tyler Junior College,10887
237,237,Brigham Young University-Provo,30221
238,238,West Texas A & M University,7266
239,239,University of Wisconsin-Milwaukee,20921
240,240,West Virginia University,21580
241,241,Tacoma Community College,6116
242,242,University of Wisconsin-Oshkosh,9955
243,243,Fox Valley Technical College,6477
244,244,Northeast Wisconsin Technical College,6516
245,245,Marquette University,8143
246,246,Inter American University of Puerto Rico-Ponce,5011
247,247,University of Wisconsin-Stevens Point,8733
248,248,University of Wisconsin-River Falls,5286
249,249,Collin County Community College District,24181
250,250,Kilgore College,5630
251,251,Thomas Nelson Community College,7970
252,252,J Sargeant Reynolds Community College,9071
253,253,University of Virginia-Main Campus,15788
254,254,Southern Methodist University,6348
255,255,Virginia Commonwealth University,22389
256,256,Columbia Basin College,5158
257,257,Las Positas College,8126
258,258,Everest University-South Orlando,8886
259,259,Johnson & Wales University-Providence,8467
260,260,University of South Carolina-Columbia,24941
261,261,College of Charleston,10033
262,262,Clemson University,17740
263,263,Volunteer State Community College,6566
264,264,Baylor University,14139
265,265,Tennessee State University,7255
266,266,Austin Community College District,32524
267,267,Houston Community College,56359
268,268,Del Mar College,10852
269,269,Central Texas College,13443
270,270,North Central Texas College,9427
271,271,California State University-San Marcos,12103
272,272,Kaplan University-Davenport Campus,35040
273,273,California State University-Monterey Bay,6408
274,274,Capella University,7828
275,275,Georgia Gwinnett College,10997
276,276,University of Phoenix-California,14962
277,277,Argosy University-Phoenix Online Division,6858
278,278,Arizona State University-Skysong,16219
279,279,South University-Savannah Online,6854
280,280,Chamberlain College of Nursing-Illinois,15122
281,281,Baton Rouge Community College,7217
282,282,Suffolk County Community College,21801
283,283,The Community College of Baltimore County,20560
284,284,Santiago Canyon College,10381
285,285,Embry-Riddle Aeronautical University-Worldwide,9666
286,286,The University of Alabama,31005
287,287,Auburn University,21551
288,288,University of Alaska Fairbanks,5432
289,289,Glendale Community College,13928
290,290,Northern Arizona University,24992
291,291,California State University-Fresno,21076
292,292,California State Polytechnic University-Pomona,22034
293,293,University of Central Arkansas,9340
294,294,Butte College,10646
295,295,Academy of Art University,8969
296,296,California Baptist University,6604
297,297,California State University-Northridge,36979
298,298,Chapman University,6281
299,299,Cerritos College,20439
300,300,East Los Angeles College,32384
301,301,Diablo Valley College,17868
302,302,University of California-Riverside,18597
303,303,University of California-Davis,28239
304,304,University of California-Santa Cruz,16231
305,305,University of California-San Diego,26584
306,306,Canada College,5192
307,307,Bakersfield College,17918
308,308,University of La Verne,5140
309,309,Foothill College,13930
310,310,Long Beach City College,23215
311,311,Los Angeles Pierce College,18578
312,312,Los Angeles City College,15634
313,313,Colorado State University-Fort Collins,22727
314,314,Yuba College,6193
315,315,Mt San Antonio College,26441
316,316,Palomar College,21154
317,317,Los Angeles Valley College,16466
318,318,Mt San Jacinto Community College District,13948
319,319,Moorpark College,13327
320,320,Oxnard College,6539
321,321,Santa Barbara City College,15092
322,322,Sonoma State University,8589
323,323,Southwestern College,16786
324,324,Solano Community College,8398
325,325,San Bernardino Valley College,11503
326,326,Santa Clara University,5344
327,327,University of Southern California,18519
328,328,West Valley College,7504
329,329,Walden University,7815
330,330,Laney College,10339
331,331,Los Angeles Trade Technical College,12584
332,332,Merced College,9114
333,333,Los Medanos College,7883
334,334,Pikes Peak Community College,11043
335,335,University of Northern Colorado,8915
336,336,University of Connecticut,18451
337,337,Howard University,6796
338,338,Georgetown University,7168
339,339,University of Hartford,5028
340,340,Western Connecticut State University,5081
341,341,American University,7300
342,342,Quinnipiac University,6931
343,343,Naugatuck Valley Community College,6302
344,344,Manchester Community College,5952
345,345,University of Central Florida,54091
346,346,Daytona State College,12474
347,347,Florida Atlantic University,24228
348,348,Florida State College at Jacksonville,21565
349,349,Florida Agricultural and Mechanical University,7705
350,350,Florida SouthWestern State College,10780
351,351,San Francisco State University,25867
352,352,San Jose State University,26670
353,353,Sacramento City College,20781
354,354,Pasadena City College,25234
355,355,San Diego City College,14129
356,356,Rio Hondo College,15941
357,357,Santa Ana College,27575
